"Genre","Prof_P","Prof_M","Edu_P","Ed_M","Taille_Frat","Sit_Fami","R_C","Bac_serie","R_B","Etablissemen","Diplome2","Stage","Francais","Age","Age_Tranches","y2","Con_Pratiques","Con_informatique","Con_Commu","L_anglais","L_espa","classe","y1"
"1","2","2","1","1","1","1","2","1","2","1","2","1","3","25","1","","1","1","1","1","2","1","0.00"
"1","2","2","1","1","2","1","2","1","2","2","3","1","3","25","1","","1","1","2","2","2","2","0.00"
"2","2","1","2","2","1","1","2","1","2","2","2","1","2","25","1","2","1","1","1","1","2","3","0.00"
"2","4","2","1","1","3","1","2","1","2","1","2","2","3","26","2","1","2","1","1","2","2","1","0.00"
"2","3","2","1","1","1","1","2","3","2","1","2","2","3","25","1","1","1","1","1","2","2","1","0.00"
"2","2","1","3","3","3","2","2","1","2","2","5","1","1","27","2","1","1","1","1","1","2","1","0.00"
"2","4","2","1","1","2","1","2","3","2","1","2","2","1","25","1","1","1","1","1","1","2","3","0.00"
"2","3","2","2","1","2","1","2","2","2","1","3","1","2","25","1","1","1","1","2","1","2","2","0.00"
"2","1","2","3","2","2","1","2","1","2","1","2","2","2","24","1","1","1","1","1","2","2","3","0.00"
"1","3","2","1","1","1","1","2","1","2","1","2","1","1","24","1","1","1","1","1","1","2","2","0.00"
"2","4","2","2","1","2","1","2","3","2","1","2","2","3","24","1","","1","1","1","1","2","3","0.00"
"2","2","2","1","1","3","1","2","3","2","1","2","2","3","26","2","1","1","1","1","1","2","4","1.00"
"1","3","1","1","2","2","1","2","3","1","1","2","2","2","28","2","","1","2","2","1","2","4","1.00"
"2","2","2","3","1","3","1","2","1","2","2","2","1","2","24","1","1","1","1","1","1","2","3","0.00"
"2","2","2","2","2","2","2","2","1","2","1","2","2","1","28","2","1","1","1","1","1","2","3","0.00"
"2","3","2","1","1","2","1","2","1","2","1","2","1","1","25","1","1","1","1","2","1","2","1","0.00"
"2","3","2","1","1","2","2","2","3","1","1","2","2","1","27","2","","1","1","1","1","2","1","0.00"
"1","2","2","2","1","1","1","2","3","2","1","2","2","3","26","2","2","2","2","2","2","2","3","0.00"
"2","2","2","2","1","2","2","2","1","2","1","2","2","1","28","2","1","1","1","1","1","2","1","0.00"
"2","4","2","1","1","2","2","2","3","2","1","2","2","1","41","3","1","2","1","2","1","2","2","0.00"
"2","2","1","3","3","2","2","2","1","2","2","5","1","2","28","2","2","1","1","1","1","2","3","0.00"
"2","2","2","3","2","1","1","2","2","2","1","2","1","3","27","2","1","1","2","1","2","2","1","0.00"
"2","2","2","2","1","1","1","2","3","2","1","2","2","3","25","1","1","2","2","2","2","2","3","0.00"
"1","2","2","3","2","2","1","2","1","2","2","1","1","1","24","1","1","1","1","1","1","2","1","0.00"
"1","2","1","3","3","1","1","2","1","2","2","2","1","2","25","1","1","1","1","1","1","1","2","0.00"
"2","1","2","3","2","2","1","2","2","2","2","1","1","1","23","1","","1","1","1","1","2","2","0.00"
"1","1","1","3","3","2","1","2","2","2","2","1","1","1","22","1","1","1","1","1","1","2","1","0.00"
"2","3","2","2","1","2","1","2","2","2","2","1","1","1","24","1","1","1","1","1","1","2","2","0.00"
"2","2","2","3","1","2","1","2","3","2","1","2","2","1","25","1","1","1","1","1","1","2","4","1.00"
"1","1","1","3","2","2","1","2","1","2","1","2","2","2","25","1","1","1","2","2","1","1","3","0.00"
"1","2","2","2","1","3","1","2","1","2","1","2","1","2","29","2","1","1","1","2","2","2","3","0.00"
"1","1","1","3","3","2","1","2","2","2","1","2","1","2","25","1","1","1","1","1","1","2","1","0.00"
"1","2","2","1","1","3","1","2","3","1","1","2","1","2","29","2","1","2","1","1","1","2","4","1.00"
"2","1","1","3","3","3","2","2","1","2","2","5","2","1","29","2","","1","1","2","1","2","3","0.00"
"1","2","2","1","1","3","1","2","1","1","1","2","2","2","38","3","1","1","1","1","1","2","3","0.00"
"1","2","2","2","1","1","1","2","","2","2","2","1","2","24","1","1","1","1","2","1","2","2","0.00"
"2","4","2","1","1","1","1","1","3","1","1","2","2","3","28","2","1","1","1","1","1","2","4","1.00"
"1","2","2","2","1","2","1","2","1","2","1","2","2","2","28","2","2","1","1","2","1","2","3","0.00"
